factor_name,factor_type,max_mu_star_cl,max_mu_star_rank,mu_star_cl_POL-001-2026,sigma_cl_POL-001-2026,mu_cl_POL-001-2026,mu_star_rank_POL-001-2026,sigma_rank_POL-001-2026,mu_star_cl_POL-002-2026,sigma_cl_POL-002-2026,mu_cl_POL-002-2026,mu_star_rank_POL-002-2026,sigma_rank_POL-002-2026,mu_star_cl_POL-007-2026,sigma_cl_POL-007-2026,mu_cl_POL-007-2026,mu_star_rank_POL-007-2026,sigma_rank_POL-007-2026,mu_star_cl_POL-005-2026,sigma_cl_POL-005-2026,mu_cl_POL-005-2026,mu_star_rank_POL-005-2026,sigma_rank_POL-005-2026,mu_star_cl_POL-006-2026,sigma_cl_POL-006-2026,mu_cl_POL-006-2026,mu_star_rank_POL-006-2026,sigma_rank_POL-006-2026
score_POL-007-2026_s_chi,score,0.07485782052092135,0.9,0.041672489442201754,0.051249646836868466,0.0181402187915449,0.45,1.0124228365658294,0.0537712798593763,0.057804791476677574,0.050835477623832635,0.75,1.0124228365658294,0.07090243581967574,0.07262700752696455,0.047496042996927085,0.9,1.5811388300841898,0.07485782052092135,0.1193560185788585,0.07239212821502664,0.3,0.9486832980505139,0.0320573571078683,0.02318746352368812,0.02680043111998227,0.3,0.6324555320336759
score_POL-001-2026_s_chi,score,0.06941998161512926,0.75,0.06941998161512926,0.04365150233569274,0.06941998161512926,0.75,0.7905694150420949,0.02248882452322895,0.02676229330997902,0.011925389252312485,0.3,0.6324555320336759,0.012923668259872508,0.011606100259297038,0.012923668259872508,0.15,0.47434164902525694,0.027355423899588265,0.033023205650103665,0.02565984785985607,0.0,0.0,0.02661199494540818,0.03162628707141704,0.019785039240511185,0.3,0.6324555320336759
score_POL-002-2026_s_GT,score,0.05866425858592191,0.6,0.03451317368011397,0.07068916022025268,-0.012825477017166553,0.3,0.7071067811865476,0.03981009497501401,0.06995574060469184,-0.006474841319196972,0.6,1.4142135623730951,0.05866425858592191,0.10478583381129256,0.04661261739874557,0.15,0.47434164902525694,0.03338806042727031,0.0681597044603765,-0.01119429063640033,0.45,1.0124228365658294,0.03105651396611736,0.05175625625524257,0.005514878997927972,0.6,1.4491376746189437
score_POL-002-2026_s_chi,score,0.05772946459872341,0.9,0.010540384654730006,0.013467762775974924,0.001821460993096502,0.45,0.724568837309472,0.05772946459872341,0.05279330620988214,0.03942805532070942,0.9,1.0488088481701514,0.016715947709793656,0.024268511475968223,0.005009051357641672,0.3,0.7071067811865476,0.021677043001351853,0.03644637054352419,-0.0032441315408784756,0.3,0.6324555320336759,0.014647304840402654,0.020825207858466484,-0.0025188849864884342,0.15,0.47434164902525694
score_POL-005-2026_s_chi,score,0.04401396202864012,0.6,0.04401396202864012,0.07654724518514894,0.0016197851096545536,0.3,0.9486832980505139,0.035641338556667325,0.07018857674264123,0.004804204608074489,0.6,1.224744871391589,0.025080746939463706,0.056784065369414626,0.013245016748480418,0.0,0.0,0.034425439208759484,0.04784657639803016,0.0006477850663926865,0.6,1.224744871391589,0.039897109530171594,0.048160972414870135,-0.03407905188815582,0.3,0.9486832980505139
score_POL-006-2026_s_chi,score,0.04221746536121392,0.6,0.01681770470744794,0.021308110361963395,-0.005837855702560862,0.6,0.9486832980505138,0.02947776987700989,0.04051349576694545,-0.017515485434043417,0.15,0.47434164902525694,0.03739224823268801,0.0649634680750108,-0.021771016521164012,0.45,1.0124228365658294,0.02938061082662652,0.0294075094113774,-0.01620690231640852,0.0,0.0,0.04221746536121392,0.04864839650292754,0.03440196104215697,0.6,1.0488088481701516
ahp_s_chi_s_desc,ahp,0.01223000534552236,0.15,0.009177506093082535,0.007745783900199959,0.007372473211549038,0.0,0.0,0.00995461386151734,0.008568338781412674,0.007759937657553331,0.15,0.47434164902525694,0.005543477915268569,0.006635587679135921,0.0026181436243665644,0.0,0.0,0.01223000534552236,0.007700742815586316,0.011861919370960677,0.15,0.47434164902525694,0.011464804680910417,0.006810482252334866,0.010761842388922522,0.0,0.0
score_POL-005-2026_s_GT,score,0.012125259473972996,0.3,0.004409388135619185,0.00848932349624586,-0.0028246896184478455,0.3,0.7071067811865476,0.006303012806778879,0.008130163815747453,-0.005334331076354687,0.0,0.0,0.012125259473972996,0.027185954544339683,-0.011810163063407033,0.3,0.6324555320336759,0.004968735318837949,0.005733931311534429,0.0004402609636355276,0.15,0.47434164902525694,0.004877375077312784,0.008899705585563808,-0.0031212627442771977,0.15,0.47434164902525694
ahp_s_HSP_s_chi,ahp,0.011183010822434327,0.3,0.008828354832914831,0.006281151531422851,0.008605161315221465,0.0,0.0,0.008954806437613127,0.01008956275164958,0.005780341122861121,0.15,0.47434164902525694,0.011183010822434327,0.012263318880426713,0.006179663765456653,0.15,0.47434164902525694,0.007663364591742472,0.009786619370587534,0.003776507795559425,0.3,0.7071067811865476,0.009557559272002303,0.009969320544163524,0.0059199706057022185,0.0,0.0
ahp_s_HSP_s_desc,ahp,0.009907793293801977,0.15,0.009245890219037317,0.005429909841977795,0.009245890219037317,0.15,0.47434164902525694,0.009907793293801977,0.005585354927445245,0.009907793293801977,0.15,0.47434164902525694,0.005086580558583678,0.005534806340039944,0.004288684946098844,0.0,0.0,0.008756999031222398,0.0066944017760767124,0.008756999031222398,0.0,0.0,0.008507445076935242,0.006888355615908671,0.008507445076935242,0.0,0.0
score_POL-007-2026_s_GT,score,0.00843412415678849,0.15,0.005282721933013418,0.0076135631918811016,0.0005098880534018691,0.15,0.47434164902525694,0.0042825534502300535,0.006298429323055385,-0.0013740893182031255,0.15,0.47434164902525694,0.00843412415678849,0.010452120144440942,0.007471111666367577,0.0,0.0,0.004425409507388703,0.005227011299175667,-0.0009426464992303679,0.0,0.0,0.006258413974195987,0.010029879097301025,-0.0001552398809772315,0.0,0.0
ahp_s_desc_s_GT,ahp,0.007141737592402775,0.0,0.007141737592402775,0.006122785937690979,-0.006165079290232467,0.0,0.0,0.002970997207952124,0.0035333652278978253,-0.002623572884151511,0.0,0.0,0.002781986161231415,0.004103674272108917,-0.0013069810137203396,0.0,0.0,0.004405734753471796,0.00590525728218703,-0.0012818468986674103,0.0,0.0,0.004757529268472662,0.005182570424920654,-0.0035081986649930148,0.0,0.0
ahp_s_HSP_s_GT,ahp,0.007069342940920542,0.0,0.0038948807521928253,0.0027906532843127415,0.0038948807521928253,0.0,0.0,0.006863093300058493,0.005369358803221342,0.006331775034363746,0.0,0.0,0.005788518414360714,0.004805511480757949,0.004783586830310563,0.0,0.0,0.007069342940920542,0.007105431028503347,0.005268963838048479,0.0,0.0,0.004706887729319325,0.004974351650250166,0.0036902799756392156,0.0,0.0
ahp_s_chi_s_GT,ahp,0.005512519548256439,0.15,0.0038772180520079942,0.005221696814280938,0.0004895047587165386,0.15,0.47434164902525694,0.005161554999275583,0.0064278897335851085,0.003823383864034849,0.0,0.0,0.005162702285824388,0.007926059927761353,-0.0029160232904176463,0.15,0.47434164902525694,0.005512519548256439,0.006790223005104409,0.005333580291432038,0.0,0.0,0.00506235948792948,0.007015377281424224,0.00144012757160612,0.0,0.0
score_POL-006-2026_s_GT,score,0.004709558156336774,0.0,0.003135944897140719,0.0039383332513365475,-0.0025736776489882597,0.0,0.0,0.0036211381536186693,0.006583321179190952,-0.00047263078645244926,0.0,0.0,0.004709558156336774,0.005072316034590105,0.0046037848902496905,0.0,0.0,0.0038111342701357296,0.00456397085987236,0.0036502739695940755,0.0,0.0,0.003090286539550255,0.004885875120038909,0.0014306621065921705,0.0,0.0
score_POL-001-2026_s_GT,score,0.00468961585134881,0.3,0.0037297432846058465,0.005615679771843131,0.001140463729878105,0.3,0.7071067811865476,0.0037886153450576777,0.006280062642411055,0.0022596530239707424,0.3,0.7071067811865476,0.0036494512657380936,0.006576436745057052,0.002893973813641701,0.0,0.0,0.0037134086788859514,0.0034990775172498026,0.002569125937940728,0.3,0.7071067811865476,0.00468961585134881,0.006925326095846475,-0.0019532649770778675,0.0,0.0
